-292.624120845993,-322.001214935422,-340.628136706053,-333.696812359568,-309.870147355706,-355.06246401535,-305.222582814676,-408.298539375425,-447.54515470941,-359.967315818413,-429.398986033829,-323.112935525272,-222.970819662657,-441.022325420646,-415.061093089158,-310.662055567019,-342.490506456036,-383.926419312508,-342.42396906516,-306.787878615206,-366.91665299404,-316.813593816572,-324.261957855692,-336.904832409406,-380.184503854591,-387.359102242886,-349.496030883644,-418.410420181056,-345.991714150297,-208.608118799069,-471.404243633033
-218.321972449784,-161.332938315855,-152.196020958191,-188.238486501814,-175.507710511155,-217.832684090415,-175.975573105046,-163.462657483735,-159.015708980337,-192.311816288137,-148.076123319147,-136.84990162096,-205.066827115451,-239.159699849457,-180.387885992071,-159.760513858417,-209.199880168242,-180.22754101228,-211.6331871762,-117.940915664033,-185.762667526625,-191.053652088834,-187.854741267057,-185.416945422971,-211.057396178181,-210.677429659466,-149.813942613572,-160.702248114115,-211.175863191032,-158.725286930239,-172.452816183432
-214.798117627133,-161.332938315855,-152.196020958191,-168.029445048229,-150.540719303404,-217.832684090415,-150.942269676441,-163.462657483735,-159.015708980337,-152.531587118137,-148.076123319147,-136.84990162096,-117.402416646614,-233.054571989789,-180.387885992071,-158.75248581385,-167.717968468882,-180.22754101228,-211.6331871762,-117.940915664033,-177.468402122477,-165.466461289641,-187.854741267057,-170.553764578668,-209.517455453096,-210.677429659466,-149.813942613572,-160.702248114115,-151.702429580173,-152.489631538867,-135.315246770554
-155.187490527574,-161.332938315855,-150.759130060746,-168.029445048229,-139.032119797566,-175.420288604688,-150.942269676441,-163.462657483735,-142.526510422529,-148.355647166276,-148.076123319147,-136.84990162096,-117.402416646614,-210.538873805986,-160.786765672872,-100.671644005324,-161.507453662989,-177.49103650553,-202.476554127095,-117.940915664033,-136.585629009479,-135.761939020391,-187.854741267057,-124.413132755769,-193.558432165754,-147.125499947523,-149.813942613572,-160.702248114115,-151.702429580173,-152.489631538867,-135.315246770554
-155.187490527574,-131.211623837643,-150.759130060746,-168.029445048229,-139.032119797566,-144.614915722165,-125.395113259569,-163.462657483735,-142.526510422529,-144.832339206186,-147.7207695604,-132.671715981302,-117.402416646614,-204.246524939761,-160.786765672872,-100.671644005324,-161.507453662989,-174.04514399441,-170.533867651859,-109.419522285508,-136.585629009479,-135.761939020391,-165.793929892063,-124.413132755769,-193.558432165754,-147.125499947523,-149.813942613572,-154.792667705888,-134.107614426889,-152.489631538867,-135.315246770554
-155.187490527574,-131.211623837643,-150.759130060746,-158.202116378622,-139.032119797566,-144.614915722165,-125.395113259569,-157.140854259324,-142.526510422529,-121.61139636717,-147.7207695604,-132.671715981302,-116.431476273414,-200.692605399426,-160.786765672872,-100.671644005324,-161.507453662989,-166.848709134358,-170.533867651859,-109.419522285508,-97.408829531258,-114.107009522662,-151.405915733629,-116.959343492578,-193.558432165754,-147.125499947523,-143.930278195883,-148.260979354834,-90.2018790232983,-144.515698013682,-135.315246770554
-155.187490527574,-131.211623837643,-150.105949084643,-158.202116378622,-139.032119797566,-144.614915722165,-125.395113259569,-138.452203662023,-114.479292300323,-110.312072555033,-147.7207695604,-132.671715981302,-116.302595813688,-179.096656419847,-128.94403179724,-100.671644005324,-161.507453662989,-166.848709134358,-170.533867651859,-109.419522285508,-97.408829531258,-102.709273077777,-151.405915733629,-115.237532972438,-183.638407822242,-147.125499947523,-143.930278195883,-148.260979354834,-90.2018790232983,-144.515698013682,-91.3086409760447
-149.175635822085,-131.211623837643,-149.87149783095,-158.202116378622,-138.443318242138,-144.614915722165,-122.947727584028,-138.452203662023,-114.479292300323,-110.312072555033,-147.7207695604,-120.705306338303,-113.888867735489,-179.096656419847,-128.94403179724,-96.2941478692396,-153.145283151011,-166.848709134358,-170.104082366052,-109.31290196103,-95.7569131236787,-102.561128492968,-151.405915733629,-115.237532972438,-156.905970092629,-147.125499947523,-143.930278195883,-148.260979354834,-90.2018790232983,-144.515698013682,-91.3086409760447
-149.175635822085,-126.334879581045,-149.87149783095,-153.091224314671,-132.665926654312,-142.98817507321,-122.947727584028,-138.452203662023,-114.479292300323,-110.312072555033,-142.216648135535,-120.705306338303,-111.225924136087,-179.096656419847,-128.94403179724,-93.5732268366659,-153.145283151011,-90.4742565449331,-143.8346559404,-105.235780084562,-95.7569131236787,-102.561128492968,-151.405915733629,-115.237532972438,-156.905970092629,-145.023181251571,-140.725121470098,-148.260979354834,-90.2018790232983,-135.466511118735,-71.6640009012946
-149.175635822085,-121.404689474557,-149.780036689048,-153.091224314671,-122.428818146329,-138.555102233371,-122.947727584028,-125.01084078531,-109.604408130505,-108.409786969576,-141.021845759638,-120.705306338303,-106.34940854664,-179.096656419847,-128.94403179724,-93.5732268366659,-153.145283151011,-90.4742565449331,-137.70169949038,-105.235780084562,-76.427797200867,-85.5169053557332,-130.46275784486,-113.578241949583,-114.761617290817,-138.397500246341,-132.466133363151,-146.582990804087,-83.9535502092302,-119.62632680827,-71.6640009012946
