-365.32205416094,-378.467556469861,-321.800352990769,-234.004406514398,-341.095423486517,-400.724614266044,-353.721547857994,-333.78333698502,-332.702839306007,-233.999594531123,-380.034439087624,-272.731334612147,-327.464990858914,-304.121977364803,-503.010087725465,-350.110608229632,-381.148355408667,-363.20930512411,-309.980948464224,-301.069984949962,-309.35851046241,-268.082631421759,-258.959074196019,-289.462037144533,-257.907806602998,-279.373686619756,-278.422866864723,-374.799623244294,-293.333189971575,-164.618930093097,-307.333571989153
-192.974363297162,-157.268530178903,-193.28427172109,-214.392634499678,-174.921780411484,-226.730383993036,-174.322113666604,-211.341678362774,-189.192109342861,-196.427655299305,-198.761063789388,-208.77639706846,-204.900417341086,-202.514164428666,-202.699606868068,-195.19261146122,-157.705055996197,-186.080057536228,-207.567578740213,-174.125339510613,-164.453363473978,-158.262390741109,-95.88624392113,-160.515460965912,-182.011859621906,-206.137777951802,-145.020299516659,-214.454780101341,-227.224178679765,-164.618930093097,-173.034659146829
-192.974363297162,-155.91942815046,-184.128690105948,-211.833820791885,-174.921780411484,-226.730383993036,-172.207430197561,-198.982653778554,-189.192109342861,-155.631496943409,-149.424230027194,-132.742360078445,-192.810417128284,-202.514164428666,-175.149962263532,-159.955029389535,-157.705055996197,-170.854807146219,-207.567578740213,-135.285879100102,-158.185898395318,-158.262390741109,-95.88624392113,-160.515460965912,-173.906906369204,-172.075821377294,-145.020299516659,-174.331475418699,-202.924810116672,-164.618930093097,-173.034659146829
-160.619918914376,-150.347419496105,-176.09086681317,-189.59299757155,-155.684001014581,-184.518379164451,-156.469295149688,-177.651831422075,-178.002128369462,-145.240219344951,-134.590461466177,-129.534998839423,-188.842698550627,-166.478105660407,-155.33811729868,-156.930518231901,-151.921263485998,-147.618775429142,-174.277774374055,-135.285879100102,-120.859812789334,-158.262390741109,-88.9359057547397,-146.031022887198,-167.071860004394,-159.841532329281,-128.293739866152,-167.582771129174,-173.111746067094,-160.007263948376,-152.095704855257
-144.604028970873,-138.623210750998,-151.678288541192,-189.59299757155,-155.684001014581,-170.158317153607,-146.102498265883,-174.510113578659,-163.380565045042,-119.227665070327,-129.832080137836,-114.883812489816,-178.004624628101,-161.145753993136,-133.419202483269,-129.315894666334,-123.385157565516,-130.099069716731,-167.423804525376,-122.676211937731,-102.083104298055,-129.881580604325,-82.2722505584639,-125.319959836898,-138.663726712823,-156.425753212169,-128.293739866152,-127.91660160524,-139.884615662534,-148.119788585804,-135.388581834747
-123.97950206336,-125.066840875832,-136.902535563265,-188.933363694108,-154.64410992026,-150.375803612501,-137.725442713717,-168.588136918284,-158.964827867709,-119.227665070327,-128.476977660314,-109.403675039122,-175.000221839109,-137.041626159541,-133.419202483269,-123.154587099088,-121.414328162924,-120.251660626645,-162.23538800522,-120.574417648765,-102.083104298055,-126.411760295695,-81.9910148222602,-116.231106570083,-138.663726712823,-154.916928839259,-116.381280373662,-120.797083088967,-139.884615662534,-144.477601095279,-109.557264845703
-108.316217530972,-121.388325777499,-118.633850557301,-180.582165451231,-131.926441939787,-144.633997242158,-137.725442713717,-161.749731672641,-151.098944082633,-105.225724779715,-127.353233507491,-101.88894805111,-151.474642065098,-130.303166302465,-112.568789913625,-108.683707191771,-117.11303874897,-106.523779460562,-151.710798400248,-117.769057804889,-89.4320301525816,-106.329489375039,-81.7152655946836,-113.608734272489,-131.253795470761,-136.444164406089,-105.231276007606,-112.637751096669,-126.634094500275,-135.144625909851,-98.2780348374656
-107.678494479693,-113.019673464251,-113.94825263039,-178.563810448434,-127.878844604616,-141.811072939313,-115.99397719342,-153.347501774921,-150.312256366275,-85.2418176650255,-110.047106957494,-91.4997302731525,-136.700890401368,-119.398000395751,-108.850667215203,-106.397033539666,-105.80143964943,-99.242580497366,-151.710798400248,-115.966635123539,-84.3747894944886,-102.42463408006,-81.4068933785383,-109.821681572612,-123.46905866656,-122.899017650929,-86.1585908482509,-112.060882122497,-114.905341455616,-135.080682666543,-72.9463250994529
-106.764204806128,-101.147153037359,-111.417862718411,-171.952072377887,-121.37883991673,-135.803462594502,-115.659456099745,-153.347501774921,-149.166741972212,-85.2418176650255,-108.183709876539,-86.4713640211766,-135.072306610214,-115.562818596738,-107.974132045758,-106.397033539666,-102.473658742677,-99.242580497366,-148.884855560254,-110.182819389748,-81.789397196557,-97.999396227658,-79.3623872551701,-108.198925898064,-117.560270243355,-120.472360877956,-86.1585908482509,-110.781672132797,-114.905341455616,-122.260429469003,-72.9463250994529
-101.717202164621,-94.62504631412,-105.392953066589,-146.93443252002,-119.038887099799,-106.829546310904,-93.9600445749366,-153.347501774921,-141.094723564524,-79.4088676549571,-100.703746220392,-83.6311299976261,-111.53641615812,-98.0260010314564,-104.164696927839,-100.810218140718,-91.8116482427739,-98.8418979096543,-144.082554652529,-108.59982476701,-79.4387417807599,-97.999396227658,-76.9031018327576,-95.8710356843959,-115.766952023703,-104.531191196198,-83.9984237699561,-110.781672132797,-113.757407517067,-122.260429469003,-72.9463250994529
